Product Handle,Product Title,Product Status,Product Description,Product Thumbnail,Product Image 1,Product Image 2,Product Image 3,Product Image 4,Product Image 5,Product Category 1,Product Category 2,Product Category 3,Product Tag 1,Product Tag 2,Product Tag 3,Product Discountable,Variant Title,Variant Sku,Variant Price KRW,Variant Option 1 Name,Variant Option 1 Value,Variant Manage Inventory,Variant Allow Backorder
노몬드-엠보--수지-니들,노몬드 엠보 & 수지 니들,draft,노몬드 엠보 & 수지 니들,https://almondyoung.com/web/product/medium/202507/31e8a34d26c8a00eee9ed5a86cdb63bd.png,,,,,,,,,,,,,수지 5R,01999b22-ec87-75be-9588-29dbb09dfcd3,4990,,,true,false
노몬드-엠보--수지-니들,노몬드 엠보 & 수지 니들,draft,노몬드 엠보 & 수지 니들,https://almondyoung.com/web/product/medium/202507/31e8a34d26c8a00eee9ed5a86cdb63bd.png,,,,,,,,,,,,,엠보 1420,01999b22-ee6b-71fb-aec2-1933e89b29d4,4990,,,true,false
노몬드-엠보--수지-니들,노몬드 엠보 & 수지 니들,draft,노몬드 엠보 & 수지 니들,https://almondyoung.com/web/product/medium/202507/31e8a34d26c8a00eee9ed5a86cdb63bd.png,,,,,,,,,,,,,엠보 1425,01999b22-efd0-746d-94d8-f2502e486c42,4990,,,true,false
노몬드-엠보--수지-니들,노몬드 엠보 & 수지 니들,draft,노몬드 엠보 & 수지 니들,https://almondyoung.com/web/product/medium/202507/31e8a34d26c8a00eee9ed5a86cdb63bd.png,,,,,,,,,,,,,엠보 1620,01999b22-f14d-7622-b2ae-cd00637309c8,4990,,,true,false
노몬드-엠보--수지-니들,노몬드 엠보 & 수지 니들,draft,노몬드 엠보 & 수지 니들,https://almondyoung.com/web/product/medium/202507/31e8a34d26c8a00eee9ed5a86cdb63bd.png,,,,,,,,,,,,,엠보 1720,01999b22-f283-770b-89b6-07c302c6e1b2,4990,,,true,false
노몬드-엠보--수지-니들,노몬드 엠보 & 수지 니들,draft,노몬드 엠보 & 수지 니들,https://almondyoung.com/web/product/medium/202507/31e8a34d26c8a00eee9ed5a86cdb63bd.png,,,,,,,,,,,,,엠보 1818,01999b22-f3bb-75ec-9fab-70fc08827ed7,4990,,,true,false
노몬드-엠보--수지-니들,노몬드 엠보 & 수지 니들,draft,노몬드 엠보 & 수지 니들,https://almondyoung.com/web/product/medium/202507/31e8a34d26c8a00eee9ed5a86cdb63bd.png,,,,,,,,,,,,,엠보 1820,01999b22-f4ff-7744-a6d7-44d9e1488ae6,4990,,,true,false
노몬드-엠보--수지-니들,노몬드 엠보 & 수지 니들,draft,노몬드 엠보 & 수지 니들,https://almondyoung.com/web/product/medium/202507/31e8a34d26c8a00eee9ed5a86cdb63bd.png,,,,,,,,,,,,,엠보 1920,01999b22-f63c-73ee-933a-8ea470945165,4990,,,true,false
노몬드-엠보--수지-니들,노몬드 엠보 & 수지 니들,draft,노몬드 엠보 & 수지 니들,https://almondyoung.com/web/product/medium/202507/31e8a34d26c8a00eee9ed5a86cdb63bd.png,,,,,,,,,,,,,엠보 1925,01999b22-f77c-70ae-b833-1eb9cc03a0d3,4990,,,true,false
노몬드-엠보--수지-니들,노몬드 엠보 & 수지 니들,draft,노몬드 엠보 & 수지 니들,https://almondyoung.com/web/product/medium/202507/31e8a34d26c8a00eee9ed5a86cdb63bd.png,,,,,,,,,,,,,엠보 2120,01999b22-f8b9-721a-977e-81f94f57ad38,4990,,,true,false
노몬드-엠보--수지-니들,노몬드 엠보 & 수지 니들,draft,노몬드 엠보 & 수지 니들,https://almondyoung.com/web/product/medium/202507/31e8a34d26c8a00eee9ed5a86cdb63bd.png,,,,,,,,,,,,,엠보 2125,01999b22-fa03-7113-8acb-7578f9d8a8fc,4990,,,true,false
노몬드-엠보--수지-니들,노몬드 엠보 & 수지 니들,draft,노몬드 엠보 & 수지 니들,https://almondyoung.com/web/product/medium/202507/31e8a34d26c8a00eee9ed5a86cdb63bd.png,,,,,,,,,,,,,엠보 1820U,01999b22-fb42-751a-aa31-8b08dda79788,4990,,,true,false
노몬드-엠보--수지-니들,노몬드 엠보 & 수지 니들,draft,노몬드 엠보 & 수지 니들,https://almondyoung.com/web/product/medium/202507/31e8a34d26c8a00eee9ed5a86cdb63bd.png,,,,,,,,,,,,,엠보 1925U,01999b22-fc7b-7468-b4a4-2977e62141d2,4990,,,true,false
노몬드-엠보--수지-니들,노몬드 엠보 & 수지 니들,draft,노몬드 엠보 & 수지 니들,https://almondyoung.com/web/product/medium/202507/31e8a34d26c8a00eee9ed5a86cdb63bd.png,,,,,,,,,,,,,엠보 2120U,01999b22-fdb2-76eb-ad99-c7574fb664c0,4990,,,true,false
노몬드-색소-에멀젼,노몬드 색소 (에멀젼),draft,노몬드 색소 (에멀젼),https://almondyoung.com/web/product/medium/202409/b84f3d09cc04d83d05d345efc3e29560.png,,,,,,,,,신상품,속눈썹,,true,Default,01999b22-e428-7193-b3b4-cc8de967be7e-default,15000,,,true,false
